order_id,customer_id,store_id,city,province,product_id,quantity,unit_price_cad,total_amount_cad,order_status,transaction_timestamp
ORD-2026-01006,CUST-5118,NR-STORE-104,Red Deer,AB,PRD-1006,3,85.0,255.0,in_progress,2026-08-13 21:57:00
ORD-2026-01007,CUST-5174,NR-STORE-103,Medicine Hat,AB,PRD-1002,2,450.0,900.0,delivered,2026-08-08 22:44:00
ORD-2026-01008,CUST-5090,NR-STORE-107,Edmonton,AB,PRD-1004,1,189.99,189.99,in_progress,2026-08-18 14:31:00
ORD-2026-01009,CUST-5176,NR-STORE-101,Edmonton,AB,PRD-1009,1,110.0,110.0,cancelled,2026-08-10 20:34:00
ORD-2026-01010,CUST-5163,NR-STORE-105,Calgary,AB,PRD-1002,3,450.0,1350.0,shipped,2026-08-10 23:56:00
ORD-2026-01011,CUST-5121,NR-STORE-107,Lethbridge,AB,PRD-1007,3,149.5,448.5,shipped,2026-08-19 20:32:00
ORD-2026-01012,CUST-5144,NR-STORE-106,Calgary,AB,PRD-1006,3,85.0,255.0,cancelled,2026-08-10 14:44:00
ORD-2026-01013,CUST-5092,NR-STORE-107,Lethbridge,AB,PRD-1002,3,450.0,1350.0,returned,2026-08-14 08:52:00
ORD-2026-01014,CUST-5066,NR-STORE-105,Calgary,AB,PRD-1005,2,129.99,259.98,delivered,2026-08-21 00:10:00
ORD-2026-01015,CUST-5000,NR-STORE-103,Red Deer,AB,PRD-1002,1,450.0,450.0,returned,2026-08-15 05:04:00
ORD-2026-01016,CUST-5051,NR-STORE-105,Calgary,AB,PRD-1002,3,450.0,1350.0,shipped,2026-08-14 14:52:00
ORD-2026-01017,CUST-5198,NR-STORE-101,Lethbridge,AB,PRD-1008,2,64.99,129.98,returned,2026-08-17 13:38:00
ORD-2026-01018,CUST-5109,NR-STORE-105,Red Deer,AB,PRD-1008,3,64.99,194.97,shipped,2026-08-15 08:58:00
ORD-2026-01019,CUST-5196,NR-STORE-105,Lethbridge,AB,PRD-1005,1,129.99,129.99,delivered,2026-08-17 11:57:00
ORD-2026-01020,CUST-5177,NR-STORE-102,Calgary,AB,PRD-1003,3,899.5,2698.5,returned,2026-08-14 09:01:00
ORD-2026-01021,CUST-5181,NR-STORE-102,Medicine Hat,AB,PRD-1009,2,110.0,220.0,shipped,2026-08-10 10:07:00
ORD-2026-01022,CUST-5024,NR-STORE-104,Calgary,AB,PRD-1009,1,110.0,110.0,in_progress,2026-08-15 14:03:00
ORD-2026-01023,CUST-5016,NR-STORE-104,Red Deer,AB,PRD-1008,2,64.99,129.98,shipped,2026-08-15 22:46:00
ORD-2026-01024,CUST-5031,NR-STORE-104,Edmonton,AB,PRD-1008,1,64.99,64.99,in_progress,2026-08-15 11:35:00
ORD-2026-01025,CUST-5091,NR-STORE-107,Edmonton,AB,PRD-1001,2,299.99,599.98,in_progress,2026-08-11 16:43:00
ORD-2026-01026,CUST-5119,NR-STORE-102,Calgary,AB,PRD-1008,3,64.99,194.97,returned,2026-08-17 19:54:00
ORD-2026-01027,CUST-5153,NR-STORE-106,Calgary,AB,PRD-1005,2,129.99,259.98,returned,2026-08-21 19:46:00
ORD-2026-01028,CUST-5061,NR-STORE-106,Medicine Hat,AB,PRD-1006,1,85.0,85.0,returned,2026-08-18 00:30:00
ORD-2026-01029,CUST-5111,NR-STORE-103,Lethbridge,AB,PRD-1005,1,129.99,129.99,in_progress,2026-08-14 23:21:00
ORD-2026-01030,CUST-5075,NR-STORE-107,Lethbridge,AB,PRD-1005,3,129.99,389.97,shipped,2026-08-08 23:58:00
ORD-2026-01031,CUST-5192,NR-STORE-102,Lethbridge,AB,PRD-1008,1,64.99,64.99,returned,2026-08-09 08:24:00
ORD-2026-01032,CUST-5041,NR-STORE-102,Lethbridge,AB,PRD-1001,3,299.99,899.97,shipped,2026-08-17 15:10:00
ORD-2026-01033,CUST-5051,NR-STORE-104,Medicine Hat,AB,PRD-1009,1,110.0,110.0,in_progress,2026-08-20 04:40:00
ORD-2026-01034,CUST-5192,NR-STORE-104,Medicine Hat,AB,PRD-1003,2,899.5,1799.0,in_progress,2026-08-22 04:24:00
ORD-2026-01035,CUST-5022,NR-STORE-106,Lethbridge,AB,PRD-1001,3,299.99,899.97,cancelled,2026-08-21 06:29:00
ORD-2026-01036,CUST-5173,NR-STORE-105,Lethbridge,AB,PRD-1001,2,299.99,599.98,cancelled,2026-08-17 06:57:00
ORD-2026-01037,CUST-5067,NR-STORE-103,Red Deer,AB,PRD-1008,3,64.99,194.97,returned,2026-08-12 12:19:00
ORD-2026-01038,CUST-5066,NR-STORE-104,Lethbridge,AB,PRD-1005,1,129.99,129.99,returned,2026-08-12 06:20:00
ORD-2026-01039,CUST-5091,NR-STORE-102,Medicine Hat,AB,PRD-1006,3,85.0,255.0,shipped,2026-08-18 19:39:00
ORD-2026-01040,CUST-5025,NR-STORE-107,Edmonton,AB,PRD-1003,3,899.5,2698.5,cancelled,2026-08-14 04:00:00
ORD-2026-01041,CUST-5130,NR-STORE-103,Calgary,AB,PRD-1004,1,189.99,189.99,cancelled,2026-08-11 12:37:00
ORD-2026-01042,CUST-5013,NR-STORE-105,Medicine Hat,AB,PRD-1003,3,899.5,2698.5,in_progress,2026-08-12 17:44:00
ORD-2026-01043,CUST-5005,NR-STORE-105,Red Deer,AB,PRD-1005,2,129.99,259.98,returned,2026-08-10 11:55:00
ORD-2026-01044,CUST-5095,NR-STORE-105,Edmonton,AB,PRD-1007,1,149.5,149.5,shipped,2026-08-14 22:26:00
ORD-2026-01045,CUST-5104,NR-STORE-107,Calgary,AB,PRD-1005,2,129.99,259.98,in_progress,2026-08-17 19:35:00
ORD-2026-01046,CUST-5155,NR-STORE-103,Edmonton,AB,PRD-1008,2,64.99,129.98,returned,2026-08-20 06:01:00
ORD-2026-01047,CUST-5159,NR-STORE-102,Edmonton,AB,PRD-1001,2,299.99,599.98,shipped,2026-08-14 21:38:00
ORD-2026-01048,CUST-5119,NR-STORE-106,Medicine Hat,AB,PRD-1002,2,450.0,900.0,delivered,2026-08-15 17:58:00
ORD-2026-01049,CUST-5126,NR-STORE-103,Red Deer,AB,PRD-1007,1,149.5,149.5,cancelled,2026-08-11 23:16:00
ORD-2026-01050,CUST-5129,NR-STORE-103,Edmonton,AB,PRD-1003,1,899.5,899.5,cancelled,2026-08-14 15:56:00
ORD-2026-01051,CUST-5041,NR-STORE-103,Medicine Hat,AB,PRD-1008,1,64.99,64.99,returned,2026-08-08 03:01:00
ORD-2026-01052,CUST-5196,NR-STORE-102,Calgary,AB,PRD-1004,3,189.99,569.97,cancelled,2026-08-08 22:51:00
ORD-2026-01053,CUST-5056,NR-STORE-104,Calgary,AB,PRD-1002,1,450.0,450.0,delivered,2026-08-11 16:13:00
ORD-2026-01054,CUST-5048,NR-STORE-106,Medicine Hat,AB,PRD-1004,2,189.99,379.98,shipped,2026-08-18 03:32:00
ORD-2026-01055,CUST-5157,NR-STORE-102,Lethbridge,AB,PRD-1005,1,129.99,129.99,shipped,2026-08-14 03:20:00
ORD-2026-01056,CUST-5046,NR-STORE-102,Calgary,AB,PRD-1002,2,450.0,900.0,delivered,2026-08-12 00:22:00
ORD-2026-01057,CUST-5080,NR-STORE-103,Medicine Hat,AB,PRD-1005,1,129.99,129.99,delivered,2026-08-21 07:07:00
ORD-2026-01058,CUST-5114,NR-STORE-105,Calgary,AB,PRD-1006,3,85.0,255.0,cancelled,2026-08-08 10:06:00
ORD-2026-01059,CUST-5038,NR-STORE-107,Edmonton,AB,PRD-1009,3,110.0,330.0,returned,2026-08-14 04:39:00
ORD-2026-01060,CUST-5018,NR-STORE-103,Medicine Hat,AB,PRD-1007,1,149.5,149.5,returned,2026-08-09 17:10:00
ORD-2026-01061,CUST-5113,NR-STORE-104,Red Deer,AB,PRD-1007,3,149.5,448.5,shipped,2026-08-20 04:33:00
ORD-2026-01062,CUST-5174,NR-STORE-107,Red Deer,AB,PRD-1007,2,149.5,299.0,returned,2026-08-17 21:17:00
ORD-2026-01063,CUST-5198,NR-STORE-102,Calgary,AB,PRD-1006,3,85.0,255.0,in_progress,2026-08-13 19:52:00
ORD-2026-01064,CUST-5004,NR-STORE-103,Edmonton,AB,PRD-1007,2,149.5,299.0,shipped,2026-08-13 00:31:00
ORD-2026-01065,CUST-5106,NR-STORE-102,Medicine Hat,AB,PRD-1003,3,899.5,2698.5,delivered,2026-08-11 11:11:00
ORD-2026-01066,CUST-5131,NR-STORE-106,Lethbridge,AB,PRD-1006,3,85.0,255.0,delivered,2026-08-13 21:43:00
ORD-2026-01067,CUST-5182,NR-STORE-107,Lethbridge,AB,PRD-1007,2,149.5,299.0,cancelled,2026-08-19 05:03:00
ORD-2026-01068,CUST-5173,NR-STORE-102,Edmonton,AB,PRD-1006,2,85.0,170.0,returned,2026-08-22 02:43:00
ORD-2026-01069,CUST-5047,NR-STORE-102,Lethbridge,AB,PRD-1008,3,64.99,194.97,cancelled,2026-08-21 13:32:00
ORD-2026-01070,CUST-5175,NR-STORE-103,Edmonton,AB,PRD-1006,2,85.0,170.0,delivered,2026-08-16 10:08:00
ORD-2026-01071,CUST-5012,NR-STORE-101,Calgary,AB,PRD-1005,2,129.99,259.98,in_progress,2026-08-10 02:27:00
ORD-2026-01072,CUST-5170,NR-STORE-106,Calgary,AB,PRD-1009,2,110.0,220.0,cancelled,2026-08-15 07:30:00
ORD-2026-01073,CUST-5197,NR-STORE-105,Red Deer,AB,PRD-1001,2,299.99,599.98,delivered,2026-08-18 10:22:00
ORD-2026-01074,CUST-5148,NR-STORE-105,Lethbridge,AB,PRD-1009,1,110.0,110.0,returned,2026-08-15 20:15:00
ORD-2026-01075,CUST-5197,NR-STORE-103,Calgary,AB,PRD-1003,1,899.5,899.5,delivered,2026-08-13 11:13:00
ORD-2026-01076,CUST-5088,NR-STORE-101,Edmonton,AB,PRD-1005,1,129.99,129.99,shipped,2026-08-22 15:49:00
ORD-2026-01077,CUST-5062,NR-STORE-106,Lethbridge,AB,PRD-1008,2,64.99,129.98,shipped,2026-08-16 02:23:00
ORD-2026-01078,CUST-5072,NR-STORE-102,Edmonton,AB,PRD-1004,2,189.99,379.98,cancelled,2026-08-15 08:51:00
